0,1,2,3,4,5,6
序号,学科门类,项目名称,项目类别,项目批准号,申请人,学校名称
1,"马克思主义/思想
政治教育",推进新疆伊斯兰教中国化的内涵要求和对策路径研究,规划基金项目,25XJJA710001,张雅妮,新疆艺术学院
2,历史学,北宋陕西路军事财政与西北边疆治理研究,青年基金项目,25XJJC770001,岳潇岚,新疆师范大学
3,管理学,对口援疆政策驱动新疆新质生产力的机制与路径研究,青年基金项目,25XJJC630001,马若飞,新疆政法学院
4,社会学,"乡村振兴背景下新疆新生代乡村教师职业承诺发展与社
会支持体系研究",青年基金项目,25XJJC840001,张乐乐,伊犁师范大学
5,民族学与文化学,"新疆各民族交往交流交融历史文化资源数字地图建设及
应用研究",青年基金项目,25XJJC850002,李岩,新疆科技学院
6,民族学与文化学,天山北路各民族共生交融形态调查研究,青年基金项目,25XJJC850001,李飞,新疆师范大学
7,教育学,"新时代党的治疆方略视域下新疆高校毕业生留疆问题研
究",青年基金项目,25XJJC880003,陆亮,新疆财经大学
8,教育学,"聋校教师部编教科书使用水平的现状评价及提升路径研
究",青年基金项目,25XJJC880001,高宇翔,新疆师范大学
9,教育学,"教育强国建设背景下民族地区乡村教育数字化转型的实
践路径研究",青年基金项目,25XJJC880004,张腾飞,新疆师范大学
10,教育学,"新疆中小学生中华民族共同体意识培育的成效评估与优
化路径研究",青年基金项目,25XJJC880002,黄梦月,伊犁师范大学
11,"交叉学科/综合研
究","新中国成立以来塔里木河流域水治理中蕴含的铸牢中华
民族共同体意识要素的发掘研究",规划基金项目,25XJJAZH001,杨美娥,新疆科技学院
12,"交叉学科/综合研
究","从副文本到跨文化调适：《红楼梦》在日传播的历时性
研究（1916-2025）",青年基金项目,25XJJCZH002,李林芯,新疆师范大学
13,"交叉学科/综合研
究",新疆汉唐丝绸纹样数字化修复保护与数据库构建,青年基金项目,25XJJCZH001,黄俊杰,伊犁师范大学
