0,1,2,3,4,5,6
序号,学科,项目名称,项目类别,项目批准号,申请人,学校名称
1,"马克思主义/思
想政治教育",泛在思政视阈下新时代新疆大学生政治认同教育研究,青年基金项目,21XJJC710002,杨沁沁,新疆警察学院
2,"马克思主义/思
想政治教育",新疆高校资助育人与爱国主义教育融合发展研究,青年基金项目,21XJJC710001,王盼盼,新疆农业大学
3,语言学,"新疆少数民族农牧民学习国家通用语言文字在线课程建设
研究",青年基金项目,21XJJC740001,"麦热甫阿依
·吾斯曼",新疆农业大学
4,艺术学,中国古代丝绸之路新疆段石窟伎乐壁画的仪轨研究,规划基金项目,21XJJA760001,肖尧轩,新疆师范大学
5,艺术学,新疆生产建设兵团红色戏剧文化研究,青年基金项目,21XJJC760001,杨华,石河子大学
6,"民族学与文化
学","乡村振兴背景下新疆农村少数民族剩余劳动力转移就业研
究",规划基金项目,21XJJA850001,李全胜,新疆师范大学
7,"新闻学与传播
学",美国在中亚的媒体援助研究,规划基金项目,21XJJA860001,王飞,新疆大学
8,"新闻学与传播
学","赴疆青年与边疆知识的生产与传播研究——以奔赴新疆的
西部计划志愿者为例",青年基金项目,21XJJC860001,刘福利,塔里木大学
9,教育学,新疆高校理科师范生科学素养及改善研究,规划基金项目,21XJJA880001,刘永泉,新疆师范大学
10,教育学,新疆农村公办幼儿园10年发展的追踪评估与政策供给研究,青年基金项目,21XJJC880001,陈素园,昌吉学院
11,统计学,高质量发展背景下统计学创新思维案例研究,规划基金项目,21XJJA910001,马俊玲,新疆财经大学
12,"交叉学科/综合
研究","富民兴疆背景下基于机器学习的新疆相对贫困识别与预警
研究",规划基金项目,21XJJAZH001,芮东升,石河子大学
13,"交叉学科/综合
研究","乡村振兴战略下新疆柯尔克孜族传统纹样创新设计与市场
赋能研究",青年基金项目,21XJJCZH002,覃伟伟,昌吉学院
14,"交叉学科/综合
研究",新疆汉语方言语音数据库建设研究,青年基金项目,21XJJCZH001,刘飞,新疆医科大学
序号,学科,项目名称,项目类别,项目批准号,申请人,学校名称
15,"交叉学科/综合
研究","“环境育人”理念下新疆乡村景观建设助力文化润疆工程
路径研究",青年基金项目,21XJJCZH003,魏威,伊犁师范大学
