0,1,2,3,4,5,6
序号,一级学科,项目名称,项目类别,项目批准号,申请人,学校名称
1,"马克思主义/
思想政治教育",西藏高校思想政治教育实效性研究,青年基金项目,19XZJC710001,柯燕,西藏大学
2,语言学,历代笔记涉藏资料汇编,规划基金项目,19XZJA740001,王宝红,西藏民族大学
3,社会学,西藏后藏地区民居建筑装饰艺术及文化表达研究,青年基金项目,19XZJC840001,李文博,西藏农牧学院
4,"民族学与文化
学","改革开放以来中国共产党民族政策在西藏的成功实践与
发展研究",青年基金项目,19XZJC850001,张云霏,西藏民族大学
5,"图书馆、情报
与文献学",智慧校园环境下西藏高校图书馆用户画像及其应用研究,规划基金项目,19XZJA870001,张孝飞,西藏民族大学
6,体育科学,基于体育与健康课程标准的藏族高中生健康行为研究,青年基金项目,19XZJC890001,张李强,西藏民族大学
