0,1,2,3,4,5,6
序号,学科门类,项目名称,项目类别,项目批准号,申请人,学校名称
1,"马克思主义/
思想政治教育",新媒体视阈下新疆高校意识形态安全教育研究,青年基金项目,17XJJC710001,樊家军,石河子大学
2,语言学,维吾尔语位移事件的类型学研究,规划基金项目,17XJJA740001,李遐,新疆师范大学
3,语言学,塔吉克斯坦语言教育政策研究,规划基金项目,17XJJA740002,李雅,新疆师范大学
4,语言学,现代维吾尔语情感语音数据库的设计与感知研究,青年基金项目,17XJJC740001,侯云红,新疆大学
5,中国文学,"哈萨克非物质文化遗产“铁尔麦”艺术的传承与发
展研究",规划基金项目,17XJJA751001,"卡木那·江
波孜",新疆大学
6,艺术学,新疆丝绸之路少数民族乡镇景观规划路径研究,青年基金项目,17XJJC760001,张雪坤,昌吉学院
7,艺术学,"文化人类学视野下的哈萨克斯坦维吾尔音乐文化研
究",青年基金项目,17XJJC760002,"穆巴拉克·
伊米提",新疆师范大学
8,历史学,清代西迁驻防族群与新疆伊犁多元文化空间的形成,青年基金项目,17XJJC770001,佟颖,伊犁师范学院
9,经济学,"“丝绸之路经济带”框架下中国新疆与巴基斯坦工
业产能合作研究",青年基金项目,17XJJC790001,闫敏,石河子大学
10,经济学,"“丝绸之路经济带”建设下哈萨克斯坦基础设施支
出偏向研究",青年基金项目,17XJJC790002,薛凤珍,新疆财经大学
11,管理学,"政府目标、投资竞争与新疆煤炭资源开发“强区富
民”财富悖论形成机制研究",规划基金项目,17XJJA630001,贺红艳,新疆财经大学
12,"民族学与文化
学","中华优秀传统文化在新疆危安犯教育改造中的价值
研究",规划基金项目,17XJJA850001,陈云,"新疆兵团警官高等
专科学校"
序号,学科门类,项目名称,项目类别,项目批准号,申请人,学校名称
13,"民族学与文化
学","医疗音乐人类学视阈下的新疆维吾尔族萨满教治病
仪式音乐研究",青年基金项目,17XJJC850001,"哈尼克孜·
阿布都外里",新疆师范大学
14,"新闻学与传播
学",新疆维吾尔文“两微一端”信息传播与管理研究,青年基金项目,17XJJC860001,"尼加提·依
布拉音",新疆大学
15,教育学,新疆融合教育的实施现状和发展对策研究,青年基金项目,17XJJC880001,王阳,新疆师范大学
16,教育学,新疆多民族特殊儿童的音乐治疗本土化实践研究,青年基金项目,17XJJC880002,苏秦,新疆师范大学
17,教育学,"中华民族认同视阈下新疆少数民族大学生国家意识
形态安全教育研究",青年基金项目,17XJJC880003,"帕提曼·艾
克木","新疆师范高等专科
学校"
18,体育科学,"新疆少数民族妇女享有体育公共服务均等化与构建
和谐社会关系的研究",青年基金项目,17XJJC890001,王学文,石河子大学
19,"交叉学科/综
合研究","基于众源信息聚合的新疆大学生意识形态风险预警
研究",规划基金项目,17XJJAZH001,杨晓梅,新疆财经大学
20,"交叉学科/综
合研究",“互联网+”时代锡伯语文有声数据库的理论与实践,规划基金项目,17XJJAZH002,柳慧,伊犁师范学院
21,"交叉学科/综
合研究",哈萨克族毡绣虚拟体验平台的开发与应用,青年基金项目,17XJJCZH001,刘萍,石河子大学
