0,1,2,3,4,5,6
序号,学科门类,学校名称,项目类别,项目名称,项目批准号,申请人
1,教育学,西藏大学,青年基金项目,西藏学前教育均衡发展问题研究,14XZJC880001,姜盛祥
2,教育学,西藏大学,青年基金项目,"西藏高等教育内涵式发展研究——基于人才培养特色建设
的视角",14XZJC880002,孔令先
3,经济学,西藏大学农牧学院,规划基金项目,"生态安全屏障框架下西藏尼洋河流域农户生计方式转型研
究",14XZJA790001,师学萍
4,"马克思主义/
思想政治教育","拉萨师范高等专科学
校",规划基金项目,"边疆民族地区大学生民族团结教育实证研究——以西藏、
新疆为例",14XZJA710001,范春文
5,"马克思主义/
思想政治教育",西藏大学农牧学院,青年基金项目,西藏爱国主义教育基地思想政治教育功能实证研究,14XZJC710001,强军锋
6,"图书馆、情报
与文献学",西藏民族学院,青年基金项目,西藏城镇化进程中的农村公共阅读服务体系研究,14XZJC870001,张若蓉
7,语言学,西藏民族学院,青年基金项目,"多元文化背景下少数民族大学生三语习得障碍与对策研究-
---以西藏地区为例",14XZJC740001,龚江平
