0,1,2,3,4,5,6
序号,学科门类,项目名称,项目类别,项目批准号,申请人,学校名称
1,"马克思主义/思想
政治教育",新中国爱国卫生运动中党的群众动员研究,规划基金项目,24YJA710056,杨立红,安徽中医药大学
2,"马克思主义/思想
政治教育","习近平总书记关于加强和改进人民信访工作重要思想研
究",规划基金项目,24YJA710041,邱少晖,安庆师范大学
3,"马克思主义/思想
政治教育",社会主义核心价值观与民法文化建设的融合发展研究,青年基金项目,24YJC710003,陈道发,安庆师范大学
4,"马克思主义/思想
政治教育","农业新质生产力推进乡村振兴的理论机制、实证检验与
路径选择",规划基金项目,24YJA710045,王静华,宝鸡文理学院
5,"马克思主义/思想
政治教育",《群众》周刊与中国共产党的形象塑造研究,青年基金项目,24YJC710125,周玉顺,北京大学
6,"马克思主义/思想
政治教育","人与自然和谐共生现代化的叙事体系建构及国际传播策
略研究",青年基金项目,24YJC710083,王丽敏,北京工业大学
7,"马克思主义/思想
政治教育",数字经济的正义问题研究：基于马克思的经济正义思想,青年基金项目,24YJC710084,王璐源,北京工业大学
8,"马克思主义/思想
政治教育",数字化生存视域下青年精神生活高质量发展研究,青年基金项目,24YJC710025,何宛怿,北京化工大学
9,"马克思主义/思想
政治教育",新时代大学生就业价值观的群体画像与塑造机制研究,青年基金项目,24YJC710024,韩丽丽,北京师范大学
10,"马克思主义/思想
政治教育",数字化赋能党建引领社区智慧治理研究,青年基金项目,24YJC710051,刘鑫,北京邮电大学
11,"马克思主义/思想
政治教育",高校思想政治教育的信任问题及其纾解研究,规划基金项目,24YJA710012,冯英华,常州工学院
12,"马克思主义/思想
政治教育",中国共产党思想政治教育的政治引领功能研究,规划基金项目,24YJA710063,张建红,成都信息工程大学
13,"马克思主义/思想
政治教育","“后真相”网络传播视域下提升大学生历史自信路径研
究",规划基金项目,24YJA710038,马建军,成都医学院
14,"马克思主义/思想
政治教育",高校思想政治教育数字叙事体系建构研究,青年基金项目,24YJC710052,刘晏如,大连理工大学
序号,学科门类,项目名称,项目类别,项目批准号,申请人,学校名称
15,"马克思主义/思想
政治教育",马克思债务批判思想及其当代价值研究,规划基金项目,24YJA710040,欧阳彬,电子科技大学
16,"马克思主义/思想
政治教育",朋辈教育理念下的“大思政课”建设实践研究,青年基金项目,24YJC710039,李振洋,东北大学
17,"马克思主义/思想
政治教育",生成式人工智能对高校意识形态安全风险及防范研究,规划基金项目,24YJA710027,李军刚,东北林业大学
18,"马克思主义/思想
政治教育",数字技术赋能红色文化赓续传承研究,规划基金项目,24YJA710023,李丹,东北农业大学
19,"马克思主义/思想
政治教育",实践论思维方式中的大学生爱国主义教育策略研究,规划基金项目,24YJA710069,赵轩,东北师范大学
20,"马克思主义/思想
政治教育","加速社会背景下青年精神生活的内在矛盾与优化策略研
究",青年基金项目,24YJC710007,陈欣,东北师范大学
21,"马克思主义/思想
政治教育",新时代高校教师思想政治工作体系建设研究,青年基金项目,24YJC710074,佟雪,东北师范大学
22,"马克思主义/思想
政治教育","正确认识和防范化解当代大学生价值观养成重大风险研
究",青年基金项目,24YJC710091,王子刚,东北师范大学
23,"马克思主义/思想
政治教育",马克思时间概念的经济学阐释研究,青年基金项目,24YJC710097,徐多文,东莞理工学院
24,"马克思主义/思想
政治教育",数字经济赋能共同富裕的逻辑理路与实践策略研究,青年基金项目,24YJC710062,沈佩翔,东华大学
25,"马克思主义/思想
政治教育","习近平文化思想视域下大学生“意义贫困”的网络文化
纾解路径研究",青年基金项目,24YJC710065,孙凯奇,东南大学
26,"马克思主义/思想
政治教育","新质生产力赋能全体人民共同富裕的理论逻辑与实践路
径研究",青年基金项目,24YJC710088,王亚丽,东南大学
27,"马克思主义/思想
政治教育","中国共产党自我革命效能提升的内在机理与实践路径研
究",青年基金项目,24YJC710099,徐广田,东南大学
28,"马克思主义/思想
政治教育",中国共产党党内法规体系的文本演进研究,青年基金项目,24YJC710044,凌淑珍,佛山科学技术学院
29,"马克思主义/思想
政治教育",习近平总书记给青年学生的书信文本研究,规划基金项目,24YJA710018,黄永斌,福州大学
30,"马克思主义/思想
政治教育",“后真相”境遇下主流意识形态情感化传播研究,青年基金项目,24YJC710037,李腾凯,广东财经大学
序号,学科门类,项目名称,项目类别,项目批准号,申请人,学校名称
31,"马克思主义/思想
政治教育",爱国主义教育话语的跨媒介传播策略及效果比较研究,青年基金项目,24YJC710089,王宇涵,广东工业大学
32,"马克思主义/思想
政治教育",思想政治教育数字化转型的实现路径研究,规划基金项目,24YJA710073,邹国振,广东金融学院
33,"马克思主义/思想
政治教育","大教师工作格局视域下多主体协同加强高校师德师风建
设的创新路径研究",规划基金项目,24YJA710002,蔡亮,广西科技大学
34,"马克思主义/思想
政治教育",乡村记忆数字化助力新时代乡村文化振兴的路径研究,青年基金项目,24YJC710011,邓妍,广州大学
35,"马克思主义/思想
政治教育",算法推荐引发的大学生道德认知偏差及规约路径研究,青年基金项目,24YJC710030,黄元丰,广州大学
36,"马克思主义/思想
政治教育",脱贫攻坚口述史与高校爱国主义教育叙事研究,青年基金项目,24YJC710043,林曼曼,广州大学
37,"马克思主义/思想
政治教育",中华民族现代文明对外传播话语体系构建研究,青年基金项目,24YJC710095,吴凯,贵州大学
38,"马克思主义/思想
政治教育",地方性道德资源的思想政治教育功能及其实现,青年基金项目,24YJC710119,郑大伟,贵州大学
39,"马克思主义/思想
政治教育",颠覆性技术下意识形态领域重大风险的防范与化解研究,规划基金项目,24YJA710010,邓景,桂林电子科技大学
40,"马克思主义/思想
政治教育","生成式人工智能赋能思想政治教育的内在机理与风险防
范",青年基金项目,24YJC710076,王博文,哈尔滨工业大学
41,"马克思主义/思想
政治教育",中华优秀家风文化涵育新时代乡风文明研究,青年基金项目,24YJC710072,田宇,海南师范大学
42,"马克思主义/思想
政治教育",算法时代高校主流意识形态话语权建设研究,规划基金项目,24YJA710050,吴汉玲,杭州电子科技大学
43,"马克思主义/思想
政治教育",非理性网络舆情对高校思政工作的影响及对策研究,青年基金项目,24YJC710092,魏菁菁,杭州师范大学
44,"马克思主义/思想
政治教育",马克思主义与儒释道思想融创的哲学范式研究,规划基金项目,24YJA710033,刘红梅,合肥工业大学
45,"马克思主义/思想
政治教育",我国主流意识形态的图像化传播及其审美建构研究,青年基金项目,24YJC710009,程传鹏,河南财经政法大学
46,"马克思主义/思想
政治教育",高校网络意识形态安全体系建构研究,青年基金项目,24YJC710001,曹堃,河南大学
序号,学科门类,项目名称,项目类别,项目批准号,申请人,学校名称
47,"马克思主义/思想
政治教育","中华文明视域下绿色家风文化建设的内在逻辑与实现路
径研究",规划基金项目,24YJA710001,白海燕,河南工业大学
48,"马克思主义/思想
政治教育",数智化转型中的科技伦理风险及防范治理研究,青年基金项目,24YJC710108,于洋,河南工业大学
49,"马克思主义/思想
政治教育",高校思政类微信公众号的建设现状与发展策略研究,规划基金项目,24YJA710051,吴玲玲,河南科技学院
50,"马克思主义/思想
政治教育",数字意识形态风险测度及其治理机制研究,青年基金项目,24YJC710040,连晓龙,河南师范大学
51,"马克思主义/思想
政治教育","生成式人工智能赋能高校思想政治教育的路径优化及风
险治理研究",青年基金项目,24YJC710010,程慧敏,菏泽学院
52,"马克思主义/思想
政治教育",《资本论》在中国早期传播研究（1919-1930）,青年基金项目,24YJC710019,高静,湖北大学
53,"马克思主义/思想
政治教育",大思政场域下大中小心理健康教育一体化建设研究,规划基金项目,24YJA710067,赵菊,湖北经济学院
54,"马克思主义/思想
政治教育","面向卓越工程师培养的地方工科院校“大思政课”建设
实践机制研究",规划基金项目,24YJA710061,易兵,湖南工程学院
55,"马克思主义/思想
政治教育",中国式现代化国际传播话语体系建构及路径优化研究,青年基金项目,24YJC710096,熊耀林,湖南科技大学
56,"马克思主义/思想
政治教育","新中国成立后李达对高校思政课建设的探索与当代价值
研究",青年基金项目,24YJC710121,钟艳,湖南理工学院
57,"马克思主义/思想
政治教育","“耕读文化”融入涉农高校择业观教育的三重逻辑和实
施路径研究",规划基金项目,24YJA710042,邵华,湖南农业大学
58,"马克思主义/思想
政治教育",新型农村集体经济组织联农带农的机理与路径研究,青年基金项目,24YJC710056,鲁小亚,华北水利水电大学
59,"马克思主义/思想
政治教育","数字媒介时代青年网络意识形态的风险防范与引导进路
研究",规划基金项目,24YJA710009,崔美娜,华东理工大学
60,"马克思主义/思想
政治教育",新时代主流意识形态传播的空间策略研究,青年基金项目,24YJC710100,徐业坤,华东政法大学
61,"马克思主义/思想
政治教育",数智时代思想政治教育方法创新研究,青年基金项目,24YJC710046,刘亮,华南农业大学
62,"马克思主义/思想
政治教育",大陆高校港澳台学生新质生产力认知模型与提升机制,青年基金项目,24YJC710014,董艺乐,华侨大学
序号,学科门类,项目名称,项目类别,项目批准号,申请人,学校名称
63,"马克思主义/思想
政治教育",传播政治经济学对数字资本主义的批判研究,青年基金项目,24YJC710055,卢鹏,华侨大学
64,"马克思主义/思想
政治教育",中国式现代化视域下新时代文艺人民性研究,青年基金项目,24YJC710115,张圆梦,华中农业大学
65,"马克思主义/思想
政治教育",新质生产力赋能思想政治教育现代化研究,规划基金项目,24YJA710059,杨芸伊,怀化学院
66,"马克思主义/思想
政治教育",高校思想政治教育数字化转型的动力机制构建研究,规划基金项目,24YJA710070,仲昭慧,淮阴工学院
67,"马克思主义/思想
政治教育",新时代掌握高校意识形态工作领导权的体制机制研究,青年基金项目,24YJC710029,黄晗,淮阴师范学院
68,"马克思主义/思想
政治教育",当代西方左翼交往资本主义批判理论研究,青年基金项目,24YJC710027,胡建东,吉林大学
69,"马克思主义/思想
政治教育",对西方误读中国式现代化的审视与批判研究,青年基金项目,24YJC710064,孙慧,吉林大学
70,"马克思主义/思想
政治教育",新质生产力发展中劳动者个体的生命样态研究,规划基金项目,24YJA710048,王秀敏,暨南大学
71,"马克思主义/思想
政治教育","教育、科技、人才协同推动高质量发展的倍增效应及其
实现路径研究",青年基金项目,24YJC710060,裴哲,江南大学
72,"马克思主义/思想
政治教育",中国式现代化的叙事体系与国际传播研究,规划基金项目,24YJA710072,朱春英,江苏大学
73,"马克思主义/思想
政治教育",廉洁家风建设对推进自我革命的作用机制研究,规划基金项目,24YJA710037,闾浩,江苏师范大学
74,"马克思主义/思想
政治教育",中央苏区红色报刊的人民性及其当代价值研究,青年基金项目,24YJC710033,解金鹏,江西理工大学
75,"马克思主义/思想
政治教育",人工智能的资本逻辑批判及其中国应对研究,规划基金项目,24YJA710047,王卫华,九江学院
76,"马克思主义/思想
政治教育",媒介记忆铸牢中华民族共同体意识个案研究,规划基金项目,24YJA710054,许翠芳,昆明理工大学
77,"马克思主义/思想
政治教育","新时代中国国际统一战线的构建研究——基于人类命运
共同体视角",青年基金项目,24YJC710104,杨荣国,兰州大学
78,"马克思主义/思想
政治教育","中国式现代化进程中历史主动精神的实践表征与弘扬路
径研究",青年基金项目,24YJC710020,高祥,辽宁大学
序号,学科门类,项目名称,项目类别,项目批准号,申请人,学校名称
79,"马克思主义/思想
政治教育","大中小学国家安全教育一体化支撑体系及其效能提升研
究",青年基金项目,24YJC710073,佟玲,辽宁工业大学
80,"马克思主义/思想
政治教育",冀鲁豫边区红色文化史料整理与研究,规划基金项目,24YJA710064,张丽,聊城大学
81,"马克思主义/思想
政治教育",数智时代高校思想政治教育话语样态及其新质研究,规划基金项目,24YJA710003,蔡卫华,岭南师范学院
82,"马克思主义/思想
政治教育",我国主流意识形态数字叙事的生成机理与实践路径研究,青年基金项目,24YJC710022,巩红新,鲁东大学
83,"马克思主义/思想
政治教育","中国共产党思想政治教育目标任务的逻辑演进与当代实
践研究",青年基金项目,24YJC710078,王桂敏,鲁东大学
84,"马克思主义/思想
政治教育",中国共产党运用红色歌曲培塑理想信念的基本经验研究,青年基金项目,24YJC710028,胡杨,南昌师范学院
85,"马克思主义/思想
政治教育",当代青年的数字焦虑及其纾解研究,青年基金项目,24YJC710048,刘明珠,南方医科大学
86,"马克思主义/思想
政治教育",数字文化传播的风险机制及其治理研究,青年基金项目,24YJC710111,张特,南京财经大学
87,"马克思主义/思想
政治教育",中国特色社会主义文化符号的表征体系及其形塑研究,青年基金项目,24YJC710032,贾奎,"南京工业职业技术大
学"
88,"马克思主义/思想
政治教育",新质生产力视域下科技冷战思维的应对研究,青年基金项目,24YJC710067,谈东晨,南京理工大学
