0,1,2,3,4,5,6
序号,学科门类,项目名称,项目类别,项目批准号,申请人,学校名称
1,"马克思主义/思想
政治教育","视觉文化视域下视觉符号讲好新疆故事的理论实践研
究",青年基金项目,24XJJC710001,张欢,新疆财经大学
2,"马克思主义/思想
政治教育",新疆高校铸牢中华民族共同体意识的文化认同研究,青年基金项目,24XJJC710002,张小敏,新疆工程学院
3,艺术学,中华文化认同视阈下的新疆新民歌研究,规划基金项目,24XJJA760001,王雪,新疆大学
4,考古学,"新时代新疆“考古戍边”的理论、实践与铸牢中华民
族共同体意识研究",青年基金项目,24XJJC780001,丁杰,伊犁师范大学
5,经济学,"数字新质生产力赋能南疆五地州农村内生发展的机制
与路径研究",青年基金项目,24XJJC790001,张倩,昌吉学院
6,经济学,"中国全要素生产率的微观高精测算及宏观科学汇总研
究",规划基金项目,24XJJA790001,王贵东,新疆大学
7,管理学,南疆四地州安全治理效能提升困境与应对策略研究,青年基金项目,24XJJC630001,唐秋宇,新疆理工学院
8,新闻学与传播学,"数字时代新疆铸牢中华民族共同体意识的媒介化宣传
教育研究",青年基金项目,24XJJC860001,孙新,新疆大学
9,教育学,"新疆高校学科建设助力新质生产力发展的实践路径研
究",青年基金项目,24XJJC880001,丁洁,塔里木大学
10,"交叉学科/综合研
究","新时代新疆各民族交往交流交融故事整理、英译及对
外传播研究",规划基金项目,24XJJAZH003,李艳飞,塔里木大学
11,"交叉学科/综合研
究","西北“沙戈荒”能源基地多业态绿色融合发展的机制
与路径研究",规划基金项目,24XJJAZH002,郝晓莉,新疆大学
12,"交叉学科/综合研
究",新时代新疆尊重和保障人权的实践与经验研究,青年基金项目,24XJJCZH001,张雅茜,新疆大学
13,"交叉学科/综合研
究",中文隐式攻击性言论数据资源构建与自动检测研究,规划基金项目,24XJJAZH001,樊小超,新疆师范大学
