0,1,2,3,4,5,6
序号,学科门类,学校名称,项目类别,项目名称,项目批准号,申请人
1,教育学,西藏民族学院,规划基金项目,西藏学前双语教育资源共建、共享研究,13XZJA880001,邱婧玲
2,教育学,西藏大学,青年基金项目,多元文化视角下西藏小学教学点研究,13XZJC880001,仁青扎西
3,"图书馆、情报与文
献学",西藏民族学院,青年基金项目,"网络环境下特定主题的藏文信息发现与采集方
法研究",13XZJC870001,刘伟光
4,中国文学,西藏民族学院,青年基金项目,"新世纪《西藏文学》（2000—2011）意识形态
的表达与诠释",13XZJC751001,魏春春
