0,1,2,3,4,5,6
序号,学科门类,项目名称,项目类别,项目批准号,申请人,学校名称
1,"马克思主义/思
想政治教育",马克思主义宗教观中国化在新疆的实践及经验研究,规划基金项目,20XJJA710002,孟凡丽,新疆大学
2,"马克思主义/思
想政治教育",新疆高职院校大学生公益性假期社会实践有效途径研究,规划基金项目,20XJJA710001,陆红霞,"新疆农业职业技
术学院"
3,外国文学,20世纪法国文学中的中国形象研究,规划基金项目,20XJJA752001,张海燕,喀什大学
4,"新闻学与传播
学",新疆文化产业对中亚传播影响力研究,规划基金项目,20XJJA860001,朱丽萍,新疆大学
5,"新闻学与传播
学",传播与新疆南疆乡村振兴研究,青年基金项目,20XJJC860001,"布玛丽亚木
·买买提",新疆大学
6,教育学,新疆南疆地区中小学生中华民族共同体意识的培育研究,规划基金项目,20XJJA880001,裴长安,石河子大学
7,教育学,南疆中等职业教育阻断代际贫困的政策减贫效应研究,青年基金项目,20XJJC880001,任园园,塔里木大学
8,教育学,"“一带一路”背景下中国与中亚五国高等教育国际合作
可持续发展研究",青年基金项目,20XJJC880002,王雪梅,新疆大学
9,国际问题研究,21世纪美国新疆政策研究,规划基金项目,20XJJAGJW001,郑松,新疆大学
10,"交叉学科/综合
研究",新疆棉农耕地质量保护的行为机理与激励机制研究,青年基金项目,20XJJCZH001,李博,塔里木大学
11,"交叉学科/综合
研究","推进南疆地区结构性贫困治理及其返贫预警机制建设研
究",青年基金项目,20XJJCZH003,祁志伟,新疆农业大学
12,"交叉学科/综合
研究","新形势下南疆四地州农村青年社会主义核心价值观教育
研究",青年基金项目,20XJJCZH002,马晓梅,新疆医科大学
