0,1,2,3,4,5,6
序号,学科门类,项目名称,项目类别,项目批准号,申请人,学校名称
1,"马克思主义/思
想政治教育","习近平总书记关于新时代青年思想政治教育重要论述的
原创性贡献研究",规划基金项目,20YJA710007,顾友仁,安徽大学
2,"马克思主义/思
想政治教育",新中国成立70年中国共产党意识形态工作史研究,规划基金项目,20YJA710035,王安平,安徽工业大学
3,"马克思主义/思
想政治教育","习近平总书记关于教育扶贫扶志扶智重要论述的实践路
径研究",规划基金项目,20YJA710045,赵宝云,安康学院
4,"马克思主义/思
想政治教育",基于推进个人品德建设的网络道德自律精神培育研究,规划基金项目,20YJA710012,华秀梅,安庆师范大学
5,"马克思主义/思
想政治教育","基于意识形态主体行为方式的网络意识形态治理和建设
研究",规划基金项目,20YJA710031,孙夕龙,北京交通大学
6,"马克思主义/思
想政治教育","习近平总书记关于思想政治教育的重要论述及其理论贡
献研究",规划基金项目,20YJA710044,赵爱玲,"北京信息科技大
学"
7,"马克思主义/思
想政治教育",中国特色生态文明话语体系构建研究,规划基金项目,20YJA710014,黄晓云,长江大学
8,"马克思主义/思
想政治教育","思政课“微故事”促进高校青年学生主流意识形态认同
研究",规划基金项目,20YJA710015,江敏,重庆文理学院
9,"马克思主义/思
想政治教育","大学生对习近平新时代中国特色社会主义思想的认同研
究",规划基金项目,20YJA710025,刘玉仙,大连交通大学
10,"马克思主义/思
想政治教育","历史合力论视域下高校思想政治理论课协同育人的建构
路径研究",规划基金项目,20YJA710001,曹银忠,电子科技大学
11,"马克思主义/思
想政治教育",新时代中华精神标识的建构及培育研究,规划基金项目,20YJA710003,曾萍,广东药科大学
12,"马克思主义/思
想政治教育",新时代党内政治生态优化研究,规划基金项目,20YJA710018,雷扬,"广州番禺职业技
术学院"
13,"马克思主义/思
想政治教育","新时代中华优秀传统文化传承与发展的独特优势与实践
路径研究",规划基金项目,20YJA710047,郑秋月,哈尔滨商业大学
序号,学科门类,项目名称,项目类别,项目批准号,申请人,学校名称
14,"马克思主义/思
想政治教育",社会主要矛盾变化视阈下我国农村反贫困问题研究,规划基金项目,20YJA710009,桂玉,河南工程学院
15,"马克思主义/思
想政治教育",互联网背景下的思想政治教育话语权研究,规划基金项目,20YJA710039,张东亮,河南师范大学
16,"马克思主义/思
想政治教育",党的巡察制度运行机制及效用评价研究,规划基金项目,20YJA710034,田湘波,湖南大学
17,"马克思主义/思
想政治教育",基于人民美好生活需要的社会主义劳动修复研究,规划基金项目,20YJA710026,罗建文,湖南科技大学
18,"马克思主义/思
想政治教育",新时代以人民为中心发展思想的实践模式研究,规划基金项目,20YJA710038,杨军,湖南科技学院
19,"马克思主义/思
想政治教育",粤港澳大湾区高校有关意识形态问题研究,规划基金项目,20YJA710040,张锅红,华南理工大学
20,"马克思主义/思
想政治教育",实践视域下推进高校“课程思政”建设研究,规划基金项目,20YJA710028,潘月游,吉林农业大学
21,"马克思主义/思
想政治教育",民族地区乡村文化振兴的动力机制及实践路径研究,规划基金项目,20YJA710019,李乐为,吉首大学
22,"马克思主义/思
想政治教育",“大思政”格局下大中小学思政课协同育人机制研究,规划基金项目,20YJA710004,陈美兰,江苏师范大学
23,"马克思主义/思
想政治教育","列宁社会主义意识形态建设思想及其在当代中国的发展
创新研究",规划基金项目,20YJA710008,顾玉兰,南京审计大学
24,"马克思主义/思
想政治教育",内地高校少数民族大学生中华民族共同体意识培育研究,规划基金项目,20YJA710049,朱兴国,南通大学
25,"马克思主义/思
想政治教育","民办高校党组织政治功能在学校治理结构中的实现路径
研究",规划基金项目,20YJA710024,林长兴,宁波财经学院
26,"马克思主义/思
想政治教育","习近平总书记关于青年的重要论述在大学生成长成才中
的实现路径研究",规划基金项目,20YJA710036,吴勇,宁波财经学院
27,"马克思主义/思
想政治教育",传统慈善文化涵养新时代中国特色志愿文化研究,规划基金项目,20YJA710010,贺建芹,山东科技大学
28,"马克思主义/思
想政治教育","公众短视频的情感触发机制及其对大学生主流价值观认
同的影响研究",规划基金项目,20YJA710006,范建刚,陕西师范大学
29,"马克思主义/思
想政治教育","延安时期党的理论工作者对革命话语的建构及其当代启
示研究",规划基金项目,20YJA710043,张正光,上海师范大学
序号,学科门类,项目名称,项目类别,项目批准号,申请人,学校名称
30,"马克思主义/思
想政治教育",基于印象管理理论的增强大学生政府信任研究,规划基金项目,20YJA710005,樊娟,上海外国语大学
31,"马克思主义/思
想政治教育",西部边疆地区高校思政课优质教学资源共享机制研究,规划基金项目,20YJA710022,李正元,天水师范学院
32,"马克思主义/思
想政治教育",新时代中国特色社会主义民主政治制度守正创新研究,规划基金项目,20YJA710037,徐向飞,"无锡商业职业技
术学院"
33,"马克思主义/思
想政治教育",习近平新时代中国特色社会主义思想微传播研究,规划基金项目,20YJA710033,唐平秋,梧州学院
34,"马克思主义/思
想政治教育","习近平总书记关于马克思主义“五观”重要论述基本问
题研究",规划基金项目,20YJA710017,金伟,武汉大学
35,"马克思主义/思
想政治教育","中华优秀传统儒学资源在高校思政课运用的理论与实践
研究",规划基金项目,20YJA710042,张三萍,武汉理工大学
36,"马克思主义/思
想政治教育",高校思政课“八个统一”的教育哲学体系建构研究,规划基金项目,20YJA710029,沈璿,西安理工大学
37,"马克思主义/思
想政治教育",全媒体时代高校社会主义意识形态凝聚力提升对策研究,规划基金项目,20YJA710030,史向军,西安理工大学
38,"马克思主义/思
想政治教育",新时代思政课教师课堂话语体系建设研究,规划基金项目,20YJA710041,张亲霞,西安外国语大学
39,"马克思主义/思
想政治教育",美国延安研究的文本、路径及其批判性分析研究,规划基金项目,20YJA710023,李志松,西北大学
40,"马克思主义/思
想政治教育","延安时期中国共产党领导法治建设的历史实践与当代价
值研究",规划基金项目,20YJA710027,潘怀平,西北大学
41,"马克思主义/思
想政治教育",中国共产党思想政治教育话语体系研究,规划基金项目,20YJA710046,赵相斌,西华师范大学
42,"马克思主义/思
想政治教育",新时代思想政治教育学范畴基本理论研究,规划基金项目,20YJA710021,李长松,西南大学
43,"马克思主义/思
想政治教育","形态、逻辑与构建：新中国成立以来社会主流价值观演
进研究",规划基金项目,20YJA710016,蒋道平,西南科技大学
44,"马克思主义/思
想政治教育",新时代背景下传统家训文化融入高校思想政治教育研究,规划基金项目,20YJA710048,朱冬梅,徐州医科大学
45,"马克思主义/思
想政治教育",新中国成立70年高校思想政治理论课建设与改革研究,规划基金项目,20YJA710032,谭劲松,"浙江东方职业技
术学院"
序号,学科门类,项目名称,项目类别,项目批准号,申请人,学校名称
46,"马克思主义/思
想政治教育",基于乡村振兴的乡村协商治理现代化问题研究,规划基金项目,20YJA710020,李燕,"郑州旅游职业学
院"
47,"马克思主义/思
想政治教育",“香山精神”研究,规划基金项目,20YJA710002,曹英,"中国人民公安大
学"
48,"马克思主义/思
想政治教育","毛泽东、董必武流失台湾的大革命时期珍贵史料收集、
整理与研究",规划基金项目,20YJA710013,黄家猛,"中南财经政法大
学"
49,"马克思主义/思
想政治教育","马克思主义思想史视野中马克思与李嘉图的学术关系分
析及其当代价值研究",规划基金项目,20YJA710011,胡莹,中山大学
50,"马克思主义/思
想政治教育",“迷群”现象对思想政治理论课的借鉴价值研究,青年基金项目,20YJC710001,卜荣华,安徽工业大学
51,"马克思主义/思
想政治教育","比较视野中的我国高校思想政治教育70年变迁及展望研
究",青年基金项目,20YJC710055,万晓飞,安阳师范学院
52,"马克思主义/思
想政治教育",乡村振兴进程中农村居民消费结构变动研究,青年基金项目,20YJC710041,卢明名,白城师范学院
53,"马克思主义/思
想政治教育",中国精神融入高校思政课教学的路径研究,青年基金项目,20YJC710030,李薇薇,北京科技大学
