0,1,2,3,4,5,6
序号,学科门类,项目名称,项目类别,项目批准号,申请人,学校名称
1,"马克思主义/
思想政治教育","境外宗教极端思想渗透新疆少数民族大学生群体
的实证调查及对策建议",青年基金项目,16XJJC710001,"阿布地哈力克
·吉热拉",新疆农业大学
2,语言学,"语篇理论下的汉语写作教学模式及评估体系构建
研究",规划基金项目,16XJJA740001,尹桂丽,新疆大学
3,语言学,基于语料库的维吾尔语词语搭配研究,青年基金项目,16XJJC740001,"塞麦提·麦麦
提敏",新疆大学
4,语言学,"基于异构数据源的开放式维吾尔语语义知识库构
建研究",青年基金项目,16XJJC740002,杨勇,新疆师范大学
5,中国文学,"多元文化视阈下的中国哈萨克阿肯阿依特斯之语
言研究",规划基金项目,16XJJA751001,"帕提曼·比都
拉",新疆大学
6,中国文学,民国时期新疆汉语文学研究,青年基金项目,16XJJC751003,潘丽,新疆师范大学
7,中国文学,生态美学视阈下的锡伯族文学研究,青年基金项目,16XJJC751001,崔悦,伊犁师范学院
8,中国文学,文化诗学视域下的清代新疆流人诗文研究,青年基金项目,16XJJC751002,梁新荣,伊犁师范学院
9,艺术学,新疆回鹘佛教美术,规划基金项目,16XJJA760001,李云,新疆艺术学院
10,艺术学,"“一带一路”战略下新疆区域形象视觉传达策略
研究",青年基金项目,16XJJC760001,黄伟斌,昌吉学院
11,艺术学,"基于图像学和元数据的哈萨克族传统图案元素分
类体系构建研究",青年基金项目,16XJJC760002,李钦曾,石河子大学
12,艺术学,"地域文化语境下的新疆伊斯兰建筑艺术的现代性
转译",青年基金项目,16XJJC760003,舒梅娟,石河子大学
13,艺术学,新疆兵团音乐口述史料研究,青年基金项目,16XJJC760004,张弫,石河子大学
14,历史学,新疆小麦种植与传播史研究,青年基金项目,16XJJC770001,李志强,新疆农业大学
15,社会学,新疆嵌入式社会宏微观演变机理与治理机制研究,规划基金项目,16XJJA840001,黄佛君,新疆师范大学
16,社会学,新疆少数民族非正规就业群体社会保障研究,青年基金项目,16XJJC840001,武晓雯,石河子大学
17,"民族学与文化
学",维吾尔族传统儿童游戏及其儿童的教育研究,规划基金项目,16XJJA850001,"亚力坤·吐松
尼牙孜","和田师范专科学
校"
18,教育学,"丝绸之路经济带视野下新疆高职旅游人才培养模
式研究",规划基金项目,16XJJA880001,李秀花,"新疆师范高等专
科学校"
19,教育学,新疆本土音乐文化和现代音乐教育的融合研究,规划基金项目,16XJJA880002,刘洋君,新疆艺术学院
20,教育学,"新疆高校思想政治理论地方课程价值及其实现方
式研究",青年基金项目,16XJJC880002,刘文芳,昌吉学院
21,教育学,新疆高校民汉双语翻译人才培养模式研究,青年基金项目,16XJJC880001,李慧慧,新疆师范大学
22,教育学,新疆地区少数民族残疾人生涯就业转衔研究,青年基金项目,16XJJC880003,王苗苗,新疆师范大学
23,体育科学,新疆公共体育服务均等化与维护社会稳定关系研,青年基金项目,16XJJC890001,孙忠伟,新疆大学
24,"交叉学科/综
合研究","中国政府采购促进中小企业发展的政策效果评价
与优化研究",规划基金项目,16XJJAZH002,王东,新疆财经大学
25,"交叉学科/综
合研究","新疆南疆少数民族中小学生中华优秀文化经典接
受情况调查及对策分析",规划基金项目,16XJJAZH004,徐军华,新疆师范大学
26,"交叉学科/综
合研究",新疆新丝路核心区下物流中心的迁移模型研究,规划基金项目,16XJJAZH003,王东,"新疆师范高等专
科学校"
27,"交叉学科/综
合研究","现代职业教育集团背景下焙烤食品加工技术现代
学徒制教育研究",规划基金项目,16XJJAZH001,陈运生,新疆职业大学
28,"交叉学科/综
合研究",新疆兵团移民群体汉语方言接触演变调查研究,青年基金项目,16XJJCZH001,刘涛,石河子大学
