0,1,2,3,4,5,6
序号,学科门类,项目名称,项目类别,项目批准号,申请人,学校名称
1,"马克思主义/思
想政治教育",ChatGPT对高校思想政治教育的影响研究,青年基金项目,23XJJC710001,"艾日夏提·
艾力",新疆大学
2,"马克思主义/思
想政治教育",文化润疆视域下新疆青少年中华民族历史观教育研究,青年基金项目,23XJJC710003,刘党辉,新疆大学
3,"马克思主义/思
想政治教育",新疆红色文化资源收集整理与数据库建设研究,青年基金项目,23XJJC710002,卜云,新疆科技学院
4,语言学,"新疆地区少数民族儿童国家通用语言学习行为跟踪与教
育共同体构建研究",青年基金项目,23XJJC740002,"古丽斯坦·
麦麦提依明",乌鲁木齐职业大学
5,语言学,"服务于“一带一路”的多语种平行语料库自动构建方法
研究",青年基金项目,23XJJC740001,"阿力木·木
拉提",新疆师范大学
6,外国文学,《一千零一夜》汉译百年嬗变经典化研究,青年基金项目,23XJJC752001,马祯妮,新疆师范大学
7,艺术学,新疆少数民族典型传统服饰的数字化保护研究,青年基金项目,23XJJC760001,陈思羽,塔里木大学
8,艺术学,"铸牢中华民族共同体意识下新疆传统民居设计伦理调查
研究",规划基金项目,23XJJA760001,张睿智,新疆大学
9,艺术学,中哈两国文化交流互鉴视野下的冼星海音乐创作研究,规划基金项目,23XJJA760002,张晓薇,新疆师范大学
10,艺术学,丝路文化视域下新疆弹拨乐的历史溯源与当代传承研究,青年基金项目,23XJJC760002,李雪,伊犁师范大学
11,历史学,清代吐鲁番额敏和卓家族国家认同研究,规划基金项目,23XJJA770001,"玉努斯江·
艾力",新疆大学
12,管理学,"多元主体协同治理、水土资源保护与农业生产效率研究
——基于新疆农村的实证分析",青年基金项目,23XJJC630001,"阿布都热合
曼·阿布迪
克然木",新疆农业大学
13,社会学,南疆长寿老人健康老龄化生活模式的民族志研究,青年基金项目,23XJJC840001,胡刚,新疆医科大学
序号,学科门类,项目名称,项目类别,项目批准号,申请人,学校名称
14,民族学与文化学,新疆有形有感有效铸牢中华民族共同体意识研究,规划基金项目,23XJJA850001,李建军,新疆大学
15,民族学与文化学,新疆当代多民族小说的风景书写与国家认同研究,青年基金项目,23XJJC850001,周秀英,新疆大学
16,民族学与文化学,新疆运用红色文化资源铸牢中华民族共同体意识研究,规划基金项目,23XJJA850002,张勇,新疆工程学院
17,新闻学与传播学,"新媒体环境下龟兹石窟文化遗产价值的阐释、转化与创
新研究",青年基金项目,23XJJC860001,孙传国,新疆理工学院
18,教育学,"新疆少数民族地区中小学国家通用语言文字教育质量评
价体系研究",青年基金项目,23XJJC880001,吴曦,新疆师范大学
19,"交叉学科/综合
研究","铸牢中华民族共同体视域下新疆少数民族乡村社火文化
实践创新研究",规划基金项目,23XJJAZH001,林茵,新疆大学
20,"交叉学科/综合
研究",新时代中国新疆故事的对外传播研究,青年基金项目,23XJJCZH001,韩泊尧,新疆大学
